generation,pi
1,7.03788e-08
2,9.29292e-08
3,1.12633e-07
4,1.33596e-07
5,1.50654e-07
6,1.69775e-07
7,1.90223e-07
8,2.09143e-07
9,2.2449e-07
10,2.46866e-07
11,2.61382e-07
12,2.78026e-07
13,3.04024e-07
14,3.32025e-07
15,3.44145e-07
16,3.52105e-07
17,3.9553e-07
18,4.15234e-07
19,4.2954e-07
20,4.51953e-07
21,4.66408e-07
22,4.83978e-07
23,5.0725e-07
24,5.21442e-07
25,5.62634e-07
26,5.78305e-07
27,5.88565e-07
28,6.03077e-07
29,6.3324e-07
30,6.42297e-07
31,6.74209e-07
32,7.08487e-07
33,7.12397e-07
34,7.13198e-07
35,7.20358e-07
36,7.4492e-07
37,7.58074e-07
38,7.5587e-07
39,7.79293e-07
40,7.94366e-07
41,8.09181e-07
42,8.27102e-07
43,8.46583e-07
44,8.80125e-07
45,9.04921e-07
46,9.29673e-07
47,9.64248e-07
48,9.94352e-07
49,1.01219e-06
50,1.0263e-06
51,1.02279e-06
52,1.01918e-06
53,9.99175e-07
54,1.02318e-06
55,1.03544e-06
56,1.05737e-06
57,1.07847e-06
58,1.089e-06
59,1.13044e-06
60,1.13414e-06
61,1.16161e-06
62,1.18905e-06
63,1.20721e-06
64,1.21725e-06
65,1.25167e-06
66,1.28249e-06
67,1.30254e-06
68,1.32991e-06
69,1.35716e-06
70,1.35132e-06
71,1.38793e-06
72,1.41734e-06
73,1.43145e-06
74,1.46638e-06
75,1.49303e-06
76,1.52323e-06
77,1.52777e-06
78,1.54588e-06
79,1.53518e-06
80,1.54437e-06
81,1.56531e-06
82,1.56017e-06
83,1.5942e-06
84,1.60767e-06
85,1.63899e-06
86,1.66731e-06
87,1.67925e-06
88,1.71126e-06
89,1.72855e-06
90,1.75583e-06
91,1.78593e-06
92,1.80747e-06
93,1.81205e-06
94,1.81715e-06
95,1.84221e-06
96,1.8695e-06
97,1.88946e-06
98,1.93346e-06
99,1.93131e-06
100,1.91877e-06
101,1.90515e-06
102,1.94804e-06
103,1.98159e-06
104,1.999e-06
105,1.97512e-06
106,1.95718e-06
107,1.98504e-06
108,2.02461e-06
109,2.09382e-06
110,2.11023e-06
111,2.12527e-06
112,2.18926e-06
113,2.24296e-06
114,2.26654e-06
115,2.28878e-06
116,2.27882e-06
117,2.29367e-06
118,2.33338e-06
119,2.36742e-06
120,2.36376e-06
121,2.38623e-06
122,2.40511e-06
123,2.433e-06
124,2.44597e-06
125,2.4848e-06
126,2.49557e-06
127,2.50464e-06
128,2.49771e-06
129,2.51306e-06
130,2.53412e-06
131,2.56019e-06
132,2.55045e-06
133,2.5639e-06
134,2.56003e-06
135,2.57984e-06
136,2.60523e-06
137,2.58671e-06
138,2.61237e-06
139,2.54527e-06
140,2.54953e-06
141,2.52082e-06
142,2.58138e-06
143,2.53316e-06
144,2.55033e-06
145,2.59169e-06
146,2.59789e-06
147,2.56364e-06
148,2.57464e-06
149,2.63524e-06
150,2.69018e-06
151,2.6726e-06
152,2.66588e-06
153,2.65834e-06
154,2.679e-06
155,2.67706e-06
156,2.68197e-06
157,2.69219e-06
158,2.7084e-06
159,2.7459e-06
160,2.75435e-06
161,2.81713e-06
162,2.82412e-06
163,2.81985e-06
164,2.8134e-06
165,2.83272e-06
166,2.85298e-06
167,2.87657e-06
168,2.8734e-06
169,2.93302e-06
170,2.95957e-06
171,2.99511e-06
172,3.02118e-06
173,3.04785e-06
174,3.08103e-06
175,3.09489e-06
176,3.08669e-06
177,3.11023e-06
178,3.14429e-06
179,3.14018e-06
180,3.13743e-06
181,3.1674e-06
182,3.15407e-06
183,3.19285e-06
184,3.1774e-06
185,3.22015e-06
186,3.23438e-06
187,3.2643e-06
188,3.28931e-06
189,3.27597e-06
190,3.25773e-06
191,3.2694e-06
192,3.26028e-06
193,3.24424e-06
194,3.27087e-06
195,3.25495e-06
196,3.29433e-06
197,3.33757e-06
198,3.37189e-06
199,3.39831e-06
200,3.39771e-06
201,3.42788e-06
202,3.44179e-06
203,3.44429e-06
204,3.47411e-06
205,3.50934e-06
206,3.52862e-06
207,3.52779e-06
208,3.53687e-06
209,3.55276e-06
210,3.59514e-06
211,3.63831e-06
212,3.668e-06
213,3.69229e-06
214,3.72124e-06
215,3.72401e-06
216,3.7613e-06
217,3.77342e-06
218,3.80312e-06
219,3.8394e-06
220,3.84031e-06
221,3.81466e-06
222,3.83508e-06
223,3.84157e-06
224,3.84788e-06
225,3.90067e-06
226,3.89247e-06
227,3.93184e-06
228,3.98912e-06
229,4.01787e-06
230,4.01983e-06
231,4.04384e-06
232,4.08937e-06
233,4.04759e-06
234,4.05062e-06
235,4.03114e-06
236,4.05082e-06
237,4.04206e-06
238,4.04749e-06
239,4.07499e-06
240,4.08044e-06
241,4.06814e-06
242,4.08787e-06
243,4.11497e-06
244,4.09663e-06
245,4.11517e-06
246,4.14667e-06
247,4.16191e-06
248,4.15627e-06
249,4.14769e-06
